Date|SR
2015-06-25|338
2015-06-26|224
2015-06-27|269
2015-06-28|203
2015-06-29|340
2015-06-30|258
2015-07-01|242
2015-07-02|155
2015-07-03|255
2015-07-04|149
2015-07-05|301
2015-07-06|332
2015-07-07|323
2015-07-08|282
2015-07-09|186
2015-07-10|198
2015-07-11|280
2015-07-12|170
2015-07-13|169
2015-07-14|228
2015-07-15|207
2015-07-16|216
2015-07-17|196
2015-07-18|199
2015-07-19|112
2015-07-20|97
2015-07-21|76
2015-07-22|226
2015-07-23|211
2015-07-24|250
2015-07-25|249
2015-07-26|188
2015-07-27|188
2015-07-28|178
2015-07-29|133
2015-07-30|181
2015-07-31|174
2015-08-01|173
2015-08-02|218
2015-08-03|49
2015-08-04|42
2015-08-05|-99.9
2015-08-06|-99.9
2015-08-07|-99.9
2015-08-08|-99.9
2015-08-09|64
2015-08-10|70
2015-08-11|55
2015-08-12|109
2015-08-13|205
2015-08-14|95
2015-08-15|114
2015-08-16|100
2015-08-17|109
2015-08-18|60
2015-08-19|46
2015-08-20|79
2015-08-21|111
2015-08-22|112
2015-08-23|70
2015-08-24|86
2015-08-25|105
2015-08-26|60
2015-08-27|59
2015-08-28|89
2015-08-29|102
2015-08-30|107
2015-08-31|63
2015-09-01|29
2015-09-02|73
2015-09-03|-99.9
2015-09-04|88
2015-09-05|63
2015-09-06|76
2015-09-07|68
2015-09-08|41
2015-09-09|37
2015-09-10|71
2015-09-11|50
2015-09-12|54
2015-09-13|43
2015-09-14|66
2015-09-15|40
2015-09-16|34
2015-09-17|39
2015-09-18|44
2015-09-19|42
2015-09-20|34
2015-09-21|26
